category,id,product_name_en,product_name_kr,description_en,description_kr,product_name_en_alt,tagline,main_ingredients,ingredient_benefits,target_skin_type,skin_concerns,texture,finish,usage_guide,key_claims,tiktok_hook,marketing_angle,market_trend
Brand/Company,Company Slogan,,,Uncompromised Protection. Transparent Beauty.,타협 없는 보호. 투명한 아름다움.,,,,,,,,,,,,,
Brand/Company,Brand Mission,,,Redefining clean skincare by eliminating the compromise between high-performance results and gentle formulations. Transforming routines into effortless rituals with weightless textures and visible results.,고기능성 결과와 순한 처방 사이의 타협을 없애 클린 스킨케어를 재정의합니다. 가벼운 제형과 가시적인 효과로 일상의 루틴을 손쉬운 리추얼로 변화시킵니다.,,,,,,,,,,,,,
Brand/Company,Brand Values,,,"Radical Transparency and Clinical Efficacy. Formulated with proven heroes like Snail Mucin and Heartleaf to protect, repair, and enhance the skin barrier.","철저한 투명성과 임상적 효능. 스네일 뮤신, 어성초와 같은 검증된 성분으로 피부 장벽을 보호, 복구 및 강화합니다.",,,,,,,,,,,,,
Brand/Company,Product Standards,,,"Strictly transparent, highly effective ingredients. Guaranteed non-comedogenic, dermatologist-tested, and irritation-free finishes.","엄격하게 투명하고 고효능의 성분만을 사용합니다. 여드름 유발 방지(Non-comedogenic), 피부과 테스트 완료, 무자극 마무리를 보장합니다.",,,,,,,,,,,,,
Brand/Company,Brand Identity,,,K-Beauty reimagined for the ingredient-conscious generation. No compromises. No secrets. Just results.,"성분을 중시하는 세대를 위해 재해석된 K-뷰티. 타협도, 비밀도 없습니다. 오직 결과로 말합니다.",,,,,,,,,,,,,
Product,KLR-001,Barrier-Cloud Moisturizing Cream,배리어 클라우드 모이스처라이징 크림,"A whipped, cloud-like cream formulated with Ceramide NP and Panthenol to repair the skin barrier without the heavy feel. Perfect for 'Skin Cycling' nights or soothing irritation after active treatments.",,,Weightless recovery for a resilient skin barrier.,"Ceramide NP, Panthenol (Vitamin B5), Triple Hyaluronic Acid",Ceramides restore skin barrier; Panthenol soothes irritation; Hyaluronic acid provides multi-depth hydration.,"Dry, Sensitive, Compromised Barrier","Dehydration, Redness, Flakiness, Irritation from Retinoids","Whipped, cloud-like airy cream, fast-absorbing","Velvety, non-greasy, soft-matte",Apply as the final step in your PM routine or whenever skin feels sensitized. Massage gently until absorbed.,"Vegan, Cruelty-Free, Fragrance-Free, Non-Comedogenic, Dermatologist-Tested","#SkinCycling savior, #CloudTexture ASMR, Barrier repair for active skin",The ultimate recovery cream for the ingredient-conscious consumer. Viral 'Cloud' texture.,Fits the 'Skin Cycling' recovery night trend in the US.
Product,KLR-002,Ceramide Glow Milky Toner,세라마이드 글로우 밀키 토너,A nutrient-rich milky toner inspired by the 'Glazed Skin' trend. It combines the deep hydration of a cream with the lightweight feel of a toner to prep and plump the skin.,,Barrier & Hydration Glaze,The essential first step for an effortless Glass Skin glow.,"Ceramide NP, Rice Bran Extract, Niacinamide, Glycerin",Rice bran brightens tone; Niacinamide refines pores; Ceramide seals in moisture.,"All Skin Types, especially Dull or Dry","Dullness, Rough Texture, Lack of Radiance","Liquid-milk, lightweight but deeply hydrating","Dewy, 'Glazed' glow, healthy radiance",Pat into clean skin using hands. Layer 2-3 times for a high-gloss finish.,"Vegan, Fragrance-Free, Clean Beauty, Glass Skin approved","#GlazingMilk aesthetic, #GlassSkin base, Milky toner layering",Achieve the Hailey Bieber 'Rhode' aesthetic with K-Beauty innovation.,Rides the 'Glazing' trend popularized by Rhode/Hailey Bieber.
Product,KLR-003,Heartleaf Soothing Cooling Toner Pads,어성초 수딩 쿨링 토너 패드,Dual-sided cooling pads soaked in Heartleaf extract to detoxify and calm skin instantly. Designed for the generation on the move—perfect after a workout or a long day in the sun.,,Relief & Reset Pads,Instant redness relief for active lifestyles.,"Houttuynia Cordata (Heartleaf) Extract, Wintergreen Leaf Extract (Natural BHA), Allantoin",Heartleaf detoxifies and calms; Wintergreen mildly exfoliates; Allantoin protects.,"Oily, Combination, Acne-Prone, Sensitive","Active Breakouts, Post-Gym Redness, Excess Sebum",Dual-sided embossed cotton pads soaked in watery essence,"Instant cooling sensation, refreshing, no residue","Swipe the embossed side to exfoliate, then leave the smooth side on red areas for 5 minutes as a targeted mask.","Vegan, Biodegradable Pads, Cruelty-Free, Alcohol-Free","#PostWorkout routine, Redness relief in 60 seconds, K-Beauty travel hack",TikTok-viral 'skin-icing' effect without the mess.,Addresses 'Maskne' and hard-water-induced skin sensitivity in US regions.
Product,KLR-004,Hypochlorous Acid Soothing Mist,차아염소산 수딩 미스트 (스팟 케어 & 트리트먼트),A high-performance SOS mist utilizing Hypochlorous Acid to combat bacteria and inflammation. It mimics the body's natural immune response to heal breakouts and soothe eczema-prone skin.,,SOS Spot & Treatment Mist,The ultimate anti-bacterial shield for troubled skin.,"Hypochlorous Acid (HOCl), Electrolyzed Water, Sodium Chloride",Naturally produced by white blood cells to fight bacteria; Anti-inflammatory; Speeds up healing.,"Acne-Prone, Eczema-Prone, Sensitive","Maskne, Body-acne (Bacne), Irritation, Bacteria-driven breakouts","Fine mist, water-like","Clean, weightless, instantly calming","Mist over face or body after sweating, or as a treatment step before serums. Safe for use throughout the day.","Non-Toxic, pH Balanced, Dermatologist Recommended, Fragrance-Free","#SOSMist, Antibacterial skin hack, Gym bag essential",The 'miracle spray' for post-gym breakouts and 'Maskne' prevention.,"Hypochlorous acid is a viral 'miracle' ingredient in US dermatological circles (e.g., Tower 28 style)."
Product,KLR-005,Snail Mucin & Ceramide Barrier Essence,스네일 뮤신 & 세라마이드 배리어 에센스,"A powerhouse essence blending ethically sourced Snail Mucin with barrier-strengthening Ceramides. This multi-functional formula targets fine lines, dark spots, and texture for a smooth, glass-like finish.",,Repair & Radiance Essence,K-Beauty's gold standard for skin repair and plumping.,"Snail Secretion Filtrate (92%), Ceramide NP, Adenosine",Snail mucin repairs damaged tissue; Adenosine provides anti-aging benefits; Ceramide strengthens skin.,"All Skin Types, Dehydrated, Aging","Fine Lines, Dark Spots, Sun Damage, Texture loss","Slimy yet fast-absorbing, stretchy essence","Plump, ultra-hydrated, Glass Skin finish",Apply to damp skin after toning. Pat gently to aid absorption.,"Ethically Sourced Mucin, Cruelty-Free, Paraben-Free","The #SnailMucin glow-up, Slime texture ASMR, Barrier protector","Already a US bestseller component, now enhanced with Barrier Care.",Snail Mucin remains a Top 3 K-Beauty search term on Amazon US.
